Word,Len,2:5,6:10,11:15,16:,SHA-512,
Satan,5,1,0,0,0,9ab88dd28eafa7e9893da0997667b93edcd6e92feb267123880e8d726e7b4835ec64b17ae26672755c842f6b22ead9e881d118a71cfb47c817310cc6c4bbb5d6,
aerie,5,1,0,0,0,1ea9e1d798aacf1280d4fc7ea72b6ac60391d1dff98ece80f5bdec7874972f0e9ef5cd5521d511bb8920d80c427d4a8a2d8ba8e286f42f8c4184bc801570843b,
bewitch,7,0,1,0,0,190c1cc87300ac45630ddd42033d37473e9cb7ecf3821d8b3bfde2604b55da53f1026993d3cd36d43b90f11ecaa0f1cc3c6aa1b5252805bd646e2a61dba3e355,
scimitar,8,0,1,0,0,f1060ca89f8a38b4802107174b98ce31b4b1be67131c564e345eb22fd68f8edbd8ce71e68b314dc8cada734d7eff2b6760e088212c1711e0fb4cda5811385df6,
legato,6,0,1,0,0,d54c031093b86cb9fc942f81387ead0c1d3dbe3f3394f325bc2fc908a69aaddbb40c335f5cdd8feac6f72547b84fc9b3631a3097dadbfe70e7ddf4a05a93a2b2,
fracas,6,0,1,0,0,aab48d463d39b6c39b60bc8056d05dd779ac1ae043cd2efb47da281f0840cd2fddd6bbc5cf0b08f45af2b8c5652c81d0f1409673528f9309d1e08e2b92c93950,
inflate,7,0,1,0,0,8d78801c09a838881b29d041ff04e584924903a8e6d4a27542e9270ee11ea9baf16f18aa7784f0beb306d7e68f2f44e57da53a34f9f31ac033be06a43247c44e,
abash,5,1,0,0,0,f28adc3b14c33529a5fde0e33d9a94da8b974971027c72a2744ef635b2d7d0dd7fccbfb42862665ab12785289b145dc24c6fb9808b0fafdae4d6b0c37982ef32,
chivalry,8,0,1,0,0,8a2ae14ef9a5a8e05dfc274745e8b164b2757b9db0b73ad45e64477ab62dd119db5f5129e73b178cdb272b104a4ff0b83379939c8011def7fdfc896eb823af77,
certifiable,11,0,0,1,0,d5197729646ecab37b665aca4caa7c6b9838a3485044b0cee9b9cc6794d5a69c46ff9750edc69e72a1572060e18255821b5001961d993b83fea2f272d29824ec,
statesmanlike,13,0,0,1,0,f1fb041791b62ee5e949465c1c0a81092402600026315f1c51b35e9dc3c877d24c12daa1b8fa98210bf6b3d1d692bc1b408452ebe3d29945175bde18e8b554a6,
corkscrew,9,0,1,0,0,5084feaaaaeeadb7f458ee54089aeebc34891d7113995ce99e03c75c72ffbbb387ca1d6e277b493f86a1d6e927d490d6658dc0ba67fa59594bffbc94b645768a,
cacao,5,1,0,0,0,69b556cd7ab6837a2c3652e69a05c9d105dcb82383c7d480d58b452ca5b86dd461daf27022bedcccfc2aa43dc2c671a9e44ff406354d4f998e70d0f40eba098a,
stickler,8,0,1,0,0,d59a9b848b03960450631c04d53fb932876e79c7e8b9162b149607ec24c3b4062139675233e4a30507734881d3109d3a83fc4ac9ff9335d395dad865610f577b,
computation,11,0,0,1,0,eac382ce46959532543fcf8dc5011ae70abe7503c4a9f498e344849aec883aca7a2ccc0971b098c182b90e3a8f1c886792267821f673472541826c105a026d9d,
lyre,4,1,0,0,0,dadaef9b6b0b3192dd3bebd082ef917f394f1d5ebfe2586283a9550c59dc2038636d434ae90609d69db7c64be0264f6ee6d19f9599fee3c2a1d9d435b114bc8b,
contour,7,0,1,0,0,82e8fbc4de7b0b6ad17aa973a98f64943b42d21d6b81c1513259ab6d34ad3149c3afe12a493894d1a2c0c3c1af7f085336c54854686582ec8eea3448eef423bb,
matrix,6,0,1,0,0,11a25e88658143a853d280bf77f81ff391347aaba2db54a3aab0149b265276de419880762a473fc496388bcf70566d7cfd0346c34add40652f8f7b669caf9ec0,
blah,4,1,0,0,0,39ca2b1f97c7d1d223dcb2b22cbe20c36f920aeefd201d0bf68ffc08db6d9ac608a0a202fb536d944c9d1f50cf9bd61b5bc84217212f0727a8db8a01c2fa54b7,
relieve,7,0,1,0,0,b5a78d3947cacdbd12acd17d5b9b06608de2e479ba30b36ff54a28cd3af2441fc1307e7b827996e4f774fc9c8049a8677080c3cb38412e5812fd9c50fe461db0,
diving board,12,0,0,1,0,63445f13bee7ea2cd3fdd4e36ff9102c3aaf3ab9a781429b47fe51fa959be7f5257f10886ca21ed93e22093375b7bae5dbe2bf9e1cc6eab5ba70fd55e5dd5c55,
soybean,7,0,1,0,0,ef199d3223f4200ff38a0674259b29aba3e72cf0eaf757ae39a76d88336b257818c585c29c70e4af98840d363a054057c7bea1d14776169c5c4b299dcf3b3288,
leviathan,9,0,1,0,0,f2109f16fd9edd580223e90b6493941b02ab22eec43326c5df4517a262d0b5b7b4804eaf8addc43d330e235b823c3fef995baf883de5117522e75ea5e5fb1d9e,
frigidity,9,0,1,0,0,5b01927a9cd4450af24d929bac9aecc17b7f89d3c3e6de21dba7172dd59b64cb86861fcd30eda4e240dd792ce12478dcd6c35d84ecf5ff458edf0ae103d55f54,
lugubrious,10,0,1,0,0,337f5a141c3f28540b0a586e8c1a8827d307a9a685aef27c44f109df6dda348ae31267b16e6e2bc8984d90f4c92c08fa55977dea82bd08e05ce56644dfc3e232,
permanence,10,0,1,0,0,f4b319ecf7412e1c115fdaaad4de4addbebec9dc1b240b82cf4943d21a6bbba31eea514d7c9a44d288247f59a3349c0042b22f916661537382269fd4caf10e75,
teammate,8,0,1,0,0,258d2929d3b13b81f10180b84699ea1350bdfc77c986cc7e0d16b9fdddcef973db75bad680ff346ae837f08b3dbb42004f0db992deb81172da601eb6b7cd7a44,
picture tube,12,0,0,1,0,c4225d4e4e2bbf984e7ef5206abdcc13cb01f750588db811f92d96d9dce64a9fdac100bd22db0eef28ca02e9f2d04916ffd1e4bfa2cc32982bb5e197ea5cd319,
nonconductor,12,0,0,1,0,c912e3e997340a14e676260dd7f79a52487e632120643c14bb5d029cc3d169900762c12043aaa985a00015921e27680c2ca2b0534fc197475efdba854e1f7317,
born-again,10,0,1,0,0,96b970382f2116c1526d365b969670b8f093777a0b44dbbd0d2db739c0278a62018cc30bd8199174574007f83a09534c43e7fd45b9a69ce612667aad2f627129,
arrogate,8,0,1,0,0,93aed812d120c6e949c892a5bca822d08a837d2626ae004a80bec228825c71cf29f82b1f938420746ad0790d293fbcdf6725acacaf8055874e5bc2277a8fbf3c,
cowpoke,7,0,1,0,0,b13083840c5826f13885f75ff4d2025ef42085c02baac86441af2af0902880c6509c55f63c75cc17e5dbe365a717826f23ff01b963f697538d375da31c8a1be1,
goalie,6,0,1,0,0,8114714272aa742f5a9722fedc7dd0347931b148fe69f0df46780157af7894b55ea9641e7ebe84021f0714cb68c3a80d11be7001b2aec44c600d688007522738,
twerp,5,1,0,0,0,80bfaf59e629f591992526a73f2f7150f6654b9723ee99bfeb999188d3917fbb858a1bab04d7218a54ade193a327e5d16897e68ebf6ff504d918a98ff7c5f241,
licorice,8,0,1,0,0,26998379b1dbbdba320a6018d9605eb628d33a33c64a46f8aba391040f7b39fd03a1cb0286debab4d19abcfd265ef382e9ee14412fec6aa32627c7c41b222c38,
parasite,8,0,1,0,0,8d5fab897ecc1ff0ea4e055aa3c913ec051471b6664743297a7577b9f522f452f18ec91da88479c8d9364f037c4c8805669f987e228e4ed11ea99d3babf87a84,
latrine,7,0,1,0,0,5f9217963b42f60711b57830acab959b0c942f7bdd1e238c5774a6cbe8d302d7481f1e2086d0c1355bab6df6f92544ce2c4f6d18b81a788d976968c8389a2e51,
flashbulb,9,0,1,0,0,0a1711821d83b63fb1a32746a7f9aee452d3bc8a940328c3d687941b755c8f2335e5f2a31ae1cc338d8a22979756c6aa7c030650f5e312341ef29b839a32f1fe,
majority,8,0,1,0,0,3cd17ed3997ffbcdcc66f7e0d3fc4945a44347b84810fca01db7a7859273bcd7f06c58485e5bb229df746688b7f21501f416c3e8a8b06587d47aaf6f9a217497,
fill,4,1,0,0,0,a26e254e561ec395af67589dc9e4a2e5027c1daf066f0eab52736a1b834509dea5f917c50c62dd6e230874bfc0cf07e20de6992e318262bda88f1879ce4b8d24,
SASE,4,1,0,0,0,20a065c4dead78854b005dad9fd3fe2161cadab1741d885a31d75c45bff060c8c003f4bf9a01f186a2bd2ef68b2f8c5a20a22ba43fa78d2d0ca82d0aba1e652d,
oboist,6,0,1,0,0,8fbfb356ded5045acc66f367cd22ae34054ec96ea1eda608de1e7d88705957cb3d2143feabdd872608f8cf329980b8b0d4d24f159424ed62c143d5a07347ef85,
include,7,0,1,0,0,940ed83fe2dbcd5523c05c367249526b9486e5380c464611933547b083ecf37c978e6b675b1e8793394e34d967d8c57d62d1ee155cdd3d0f9e7c49e69dae74ad,
jocularity,10,0,1,0,0,e0860222179ce413d9e5ec63dccfbb1b20e25498b8bca55e692df71b8533c402dfd225018297d6d40af00ff11adb59419d521dcf9f095e2b6fe86c6f11e1fbb6,
oracle,6,0,1,0,0,6522da2f3fe4f163d52acef62440c086be5ec1203c2ce90a5427546a1cafe6440618fd3af2c8a3362ab7bc7544600ca77bed41f95d8038a8a7cc458177691474,
guarded,7,0,1,0,0,380bb6f43e9121aeb404ca7545015bbff7322db3f69c66135d09eb64b4f32ff90c9aed6eae3544fb65e38842f208a228568367fc18c8f40f40997fee0085a163,
confrontation,13,0,0,1,0,689a6ed95e29f6122781db72cdb6e9200bc14f59187cba72a0f724ab83f8dfed78bc1c89b33d3ae6c0de3e850bc660ef4acf114e4b834afd5852f1d6448c60ee,
conservation,12,0,0,1,0,64d062fb5743699efda3276009c7b4b7a93e725320492cbae4fc7343529381c8619a0516ca4d5bb15f297ceb90cd6be6a36d187702efb167116d80c6b552e0ef,
cram,4,1,0,0,0,573208177b1b2b62e625633eaa091bea6ecf2f57cd15160bf54eb90bb1bd32e7b6f958e94c68843c6e44707cfdb28d203f69f3e0d604fef7f53b60a2c5124665,
over-the-top,12,0,0,1,0,f8e6533931ef5d7ad4c1d7c281ea7be424a9273cbeef789d9cf7e74a47b3ac68093d4fd0bf90a616efcdb68fbf14f7e8e73acf39df235d68c539684fa9610db4,
doc,3,1,0,0,0,3c52af7a548083f3dad732f8eefbdb50de3ab60b9a50eda6be0b244356dec3cc898bd9ef63e46e5bbe61da33246bcff9dd7c20215ad071e9ce3b91c4aebef9e8,
folk,4,1,0,0,0,8bdd8cfabf9a101b824bf3532212eca9f9f8c7c97c79eee30e8a8a4c8c5300cbea0adc2d02e17592d6b22d62f98a25dc197a2ebcc1b7aef236360a65173053a6,
write-off,9,0,1,0,0,42e49220f87ceb9b434f84e8f702e77f0383d382e49b25cf69de03358dd10cb08098f20160bd86a465ed8a0ca7f1de9cceb181d3f07062ecd69cc50a6fd02fe9,
oust,4,1,0,0,0,17277841ff9001687c23ca8412ee71a8004a1d4e6c6377923e3854c5c2abad05a2a177252a7af715dc8f99b4052ae5e1257b032bf46da0746402b56b8dc7d303,
wade,4,1,0,0,0,ba00a29cc1588865e7d0e47f1ea13755de35f081ffae9891219cdbc9c724d9297e31b2b287e6db9215b97755d2b609fb91d9b94196bebbb732e7bca24febd072,
remarkable,10,0,1,0,0,cb0dd7c4fc2e0d3deab16b52a7fb75bc8140a8edee57a0baba06279cfa9ada028745c68ba50663ebad1d1dbcfe21e609b939c83df73b0a61e40126afdeba1f75,
propagandize,12,0,0,1,0,b7c94ad36a6c00bbd29d0a53203cd1105ceb7929780467eaea3e79a70216b771c3f91d99ccdf8af644fbd44a813ef83fa512e35c977731b70546a51b00dccc84,
cranium,7,0,1,0,0,ea041f8829e372339913a7f222d686040788e33dc5c6c209ce38720118cda93325ddf6cfb5bef319f135c23c05e0a9a21c64ae90b09e792491d226afa668c4d4,
kleptomania,11,0,0,1,0,741a070d36f7cfc2d5786da9030548f58b51dd3b3befc3e05c11dcf535441e27fb2474b7c771d6e0e56b165016f49455659ef1119efc8fd5a08f10f732da01bd,
remade,6,0,1,0,0,f602a082216773e4260118b8d21c2f5a23f02980d5a7a3de582b8bca8f8b75d25ef361b7f47f796ad076acd01f8e8ab27155ea36b2c7d25f72a948af7c127ef1,
profession,10,0,1,0,0,3eb688fff099c5a2ffbbdd9f1a1526f722415ca9575f0da2ec2138476c9012bf85dac6240ff9a623bd558b8c6a8405be3d6549cf0020c60c89a255dcb240123e,
hysterectomy,12,0,0,1,0,a6e0824b1ead11d2901912c5e4eda8bc556e535021b3174fd5739068c75d8618b680124719f2b069075f82d3be150cfbc2651bb98da8f5c5d1d6c3b86014d3ea,
employment,10,0,1,0,0,7f37a56baace234ed7ccb355ca008c8b2212a9a366ffeb5999539b7ad3a8b624d7600c34c1c3234139b2977ff1067672c8e3b387231fd9e5b29356cabe1c3ce4,
mother-in-law,13,0,0,1,0,db1400c246cc7d5566ff08867bd85ec6c2da8d44c36bdf62ceeebaa1aac217fbb23ebf98013805c3c231e5e5299aa19e78e123a5a50bfb2ec42129a0910f4c94,
oblique,7,0,1,0,0,a9744032d596015a48aef492490c94bb3facffdd89320a2a89e3afa437eb192dfefab39ad07515db3b9eda83bd4f49bebd240befc87ef61bfcf694d0580819c0,
mirage,6,0,1,0,0,ed5dbe35d2eea0826c78e721f6db5f95ea59ce05c8c0eab61cd4f4e451c5721d91b23f40550afbb11dece1b2adde95c83ae0ae712fb847d1892914fd83800733,
cue ball,8,0,1,0,0,15f477e3931b128fdbb581c1b13b0041aff77a8a732c99fd1dedc1ec88e83f9250cf9ebfccac226cab9f8c2bef6f3111567476b5518284ae837318017ec64324,
omniscience,11,0,0,1,0,c1f85ded022f6ac73ecfe50ee969862fef7ac9803723fa05c096e773e582a01d301cc333942440ce278b6e4817108696a801f094056f9c08aaf95871b825572b,
cupidity,8,0,1,0,0,301fb72fe770338a7c7d3a321cbea4ae654c00ff4636bfae17072e778c1e6f008f864dca3bacac2356d325f6bb524165bef6699bf7a61e7997c6d5b1e0345688,
extricate,9,0,1,0,0,808ca7ee18b02a91d5326072839927ffa35ae787507bcdc5868f64889541e6a8aff7feee9db098c858d5df1218f64cbab8bb9083705e0db3003b9e2499304c35,
romaine,7,0,1,0,0,5502a2aa817b0f9f80816b57e759bffaba46790e7f9379e7c84fb8236f46f25ef06ebca9ce529f44e47f24f9665c9d1929b7712edb2f1e4d45221fc9df4c22b0,
chronology,10,0,1,0,0,4f560478d7e84babd7617c0ea7e41b73848b51e75a3ad5227de334388d71b0a69542bd2d948e51515db25ac7d2adca2b0f251509ef96bf3c010e3628db449f0d,
unstructured,12,0,0,1,0,f3c68558af16cc212745d7ecf86d7fb911333d4d719fb8c171de02159a725d0946820c31e6b8c23c33ddbf72f789e4fcc3b113cf84908a6e29c5c263f27f72da,
treeless,8,0,1,0,0,d3c8c07205d4ac15a2b7f0b2c114233fff153948bbcf9282d383f23aee9c8b581a60ba68366b22b14258adb434899f2db8d9c968feedf9555839357b3dc92365,
keystroke,9,0,1,0,0,87ccc3fb9664a9ee543f6f90459d79d8c36863c17f856f62fe6e64d18210538dc7e890c66911587320908aa9e9191888444a054d2378a545706a21cc2b891e96,
was,3,1,0,0,0,7e8ea7c40850ff9e30e9cf386b9a85c24365598d76c52aa258f5b31373fbc72a606a83f9543d425a47fea37de7c0a13f251f77024f1153a64336a68b1db1b852,
testis,6,0,1,0,0,56068d6bcb49abf15c3f3a21913d48e2c7782416713d94bc9d7cfe928b1db27d58aec2537890ebc7b86773c001bb36a37e2b753562610206b1fc6ca8031912aa,
probable,8,0,1,0,0,5cd1454e7deeeb5804c99dc32d94e5f42b99b764acb81b8d4070fcca5a4734f8ed7ee93469b9513f952bfb7f809b8e1546773ef64cfb1c6cb161f060fbbeaf51,
inhalator,9,0,1,0,0,9ce0b73fb70d8c9f365908f99adb8c2ffd1a69d303733095a06db517c9938fdbe776fec54899df7b63c5de00a2dabd711f996f0be733c0d87fa8461af4087c4b,
expense account,15,0,0,1,0,7d3a88028e0c334c15da2e812e98732d5ad8197b6cc128a03d3c981896019dc0a2239d8d37e279d5ef6bcb9746267acc01f0c615ce545fc5f068a8d4a0a64bee,
bewail,6,0,1,0,0,e5d14d175fd9cf3bbbf82959bba5212161eea43a1ec27b49a242ad817ffaccf39562f9086444fe9722d0d79b84291cc502ce070e64e22d62b2f7f6419c56de75,
silk-screen,11,0,0,1,0,d66466ec84be0319da6f0cacf690193ecd3e7049f7e0269b2cb35d2823947fc00d2cde24c31541664d7102d8334692bf3c27f3fcfeaedd57da8de68538e6f4b6,
caster,6,0,1,0,0,b2cc24826842829c2209fae54950bf5122e474c772ccfc8c22d7ae2ba3e26e3b0a462c31c780a0addea18aba90fc1a2c04e445ddcd2ebcabbecc47f107ecde06,
dapper,6,0,1,0,0,8e46949edae4ff1c5a8dba7ea573efdb5768834af119591bd3d910229b9662a7884b3c8c5334ea2a65a601bd175e14f39f175bce67d01109349fb510f8f12a97,
recall,6,0,1,0,0,b5628e5d154ce427278cdd59994bc520cf906b4f9aca65cb27f412aa91a29d9ae8e711bf07ccad5a62f479ebcc2f9517e60392ff971fdd6e33bde6739910e6b0,
turbot,6,0,1,0,0,0b86fee9622cbf9a5ebd5e256c411fee557e2f269b3b546f8e8b2a750af9e7a531222a27e4f653174a7ca69d9427e4df96a9ad9d461106b33959ea3d503c2604,
unconnected,11,0,0,1,0,538b5df18e72572a6c1cd97d8c499e8a2a3b04ed910bcf98e3ae1932741387e43da32e778ccc961097b7e092caca507316fd0b59c236077970fc5aeb245579bb,
eh,2,1,0,0,0,643f51cb0ac7e245dd1b86b2b0b5c9fc2eceee5df7bf1c3804b6230692b2669952796d391badacb04967f0d7ef4ae12be95b3d85253d3902597de6c8456905da,
geology,7,0,1,0,0,08e531cd7f965be6450b450b0184394e2bee8e46daad8d9ab5e7b1f4a626c73a4f067e0ba869ef4ec1257591bf17e5013c89911ca10d69625800fd82c1422a5e,
edition,7,0,1,0,0,b2eadaa8d9c5c9654061754c5cb86737eebb7f127867c2ad8174ffe822f0b0764c8c5e0e8615451f57b385ba932e5808262538152d5559c90d7d0f20b6ec8780,
slanderous,10,0,1,0,0,55d138b9229500e9cda410b5cfd6b93f33987972b0f78aa6922df9f61d6214a9ab1ef9f673fd615a7c4dca7f4dfe54587d37d5a3394e38e81ea6bad5848acd03,
denude,6,0,1,0,0,6a4b168ebc692468f00bb95faae87e8eae2ba1817c2fda9d094062ec1e483fafaa798418447464a2a8581b6589034673269519536e64ae397d1c386af1791e8c,
filbert,7,0,1,0,0,4f2ffe74d3ecebb4b2b7fb4334ef309facace8756ce69e6370225e8254ca756438d17aacc268af722a05b839bbbcf52374ec07fdba74cb5e8d88d9d6e2659263,
thirtieth,9,0,1,0,0,00424058271b550b7359fcbc0e13c57e164a4d229afb360c9c7dc13d18f92bf42b98770c8adfd38bfec277412f4aa2f83f60280fd0015d220e5d331037d3cdcd,
neoprene,8,0,1,0,0,56f81e7c1c0c28dfbb35b5753a2f49524b2e92b6cbd9505c9249ebdd33939e19201cecd574ff06234e1b4221bdcfc81ba668fe6636ef3d7cc48256e2220b7c30,
whisk broom,11,0,0,1,0,d5b09d25d696d1959d00c20f1af540c8e339f19bc5dcd361e23213a07bc13a815eb34bdd99980020f26ad9ac093def64593ff7d4bff86f5d57bccbedbabc84ab,
overtax,7,0,1,0,0,9fd2d4174e58f371e54add8d3ec2aad7796f67f525f44d87bf5681f7a74fefaf8c0e056e30718181c4e42e1f061556c761714d1a7218a333c0149fe795c8111a,
mossy,5,1,0,0,0,a5b83b204e48c70bcaca4aef447b9a4f66cdaa309b064813f44ebad4317de1e6124f10e4064a7a66e4525a39ef3cd1f607248d0ed3030d57efa3f45846982ec8,
connection,10,0,1,0,0,3a3cd1428cda56d28d8eea7591418b4caa0bcf4fe2e9def87a255bc5646ce78899cb9332edfda0fe921aa5b684e7ffe3dbfdb78a27de31f2bf4105ea9d4ffbab,
causality,9,0,1,0,0,eccf7c50dc2463561a75f28ca1cb0eea577cf3712522208f447a92431413a32c0d4beb91c5303fb1621bb9f4ed5b5da35e85c469654c7a67f211f65035e7ec06,
facing,6,0,1,0,0,445fca1f8daef40139cca2279ce17794892f7df60215f302e7248cc1078410e76a570c46e1137175057b9b180f7b634daace605de52d17918c2a4ce3da3642e8,
gone,4,1,0,0,0,04d67ce0030840a51e3248c5ff21f444187f166694d44439e08ede7833b1adc0b1a12629e693f0cb790418f4d4701eb5726488f8ea23ed87bd7ca5459cb11f46,
cello,5,1,0,0,0,51c4e2f55d26128263d7737008eb5561675c5ce08de24f3f71ea26181ff654803c78dcd9fef88f25c2f904682c97119a38143443bf3cd1fa44a63bcf21a3f8d4,
woofer,6,0,1,0,0,5f560a2454ca5009065357af45753bc11da3130497d3e21e4d84c45e242188d7ce72b8f02e9eff43e2e3945fb93ba8767b7ba7c33e2a5a8b9de980396710a718,
poncho,6,0,1,0,0,ea94a1d4f7ecc3c80f5df2d534d17a0b60d537c0cacb7f00aab614218a630f8e2182e665b2806849de24fad8c6eddd5742d775a895735066ae99ecb4700162f1,
African-American,16,0,0,0,1,ad59d2fd6f10885d7192cff0a74851bf9e113e5155de599ec43b4a0e2b4827d698d0b6ea6c8b2dd6670a29b7feb69de78460d7362358160fa51f3ff207104d70,
Mongolian,9,0,1,0,0,9760b9c0d76cc05d4b3d95e1757e726223aa330ebc871bac4283764f8c5b71f60bd475398f82e05b9127871efdca25f62ed0a69ab4b47d4cbdde8dd6bb692ce3,
unseemly,8,0,1,0,0,188de8f721b00c43dec1810e2641531b9bcb7ac9fd23bc2c7e92110df6133f52b025ea194e8c90b55bfe3987aab424d12f1d50b4757089425c800498142a77b1,
headless,8,0,1,0,0,c0421d3191179dadfb9d8181e3e9de6e013c2f2d37ca126db2db5e9117c470cb0cc8bd4a4117a855e76976d449fb65481a98e7971433ddb5f34f3005a99c405c,
road,4,1,0,0,0,bb0ce9cab33dbe2a7cf9025e0d9d087ee7afd72df67fa180f8d18ddc103b9dd546df064a164069531c80907a14d5e0ff9806677ddc939ecece52bbf900e2197e,
repatriate,10,0,1,0,0,de8da30811e985b292ba15c9e5728b7534526a75ac6500d3a94a4801ba52bff4ac69017f85eccf870cb0098d41313e18d962ffd31ff1f12cefb25cf5fd711761,
Bantu,5,1,0,0,0,0ff099548ae6fb89054084f688c1dc7a42cd87b7bb8bf5785bfd8c62ab0dcf3daeba73a99ff31ebb53a19358cbf1c8a1084d23f9ca3f5c865a8e20970dd6c64c,
egalitarian,11,0,0,1,0,a58c4616cdc4fcd333b788904343f6db2a6d749217f2f5069aa65c482d4da69fe655e0a5d01f076b260d1f5d1d556705a0bb7202d7f4dddc131ad92b77c4f57e,
vellum,6,0,1,0,0,80aee76f53958e190d4b050418571e015e7cb8c1040bec1065285462e7bf1c39087f15ed03a5c6b50f6f4acc3ad65dd7cca6696a7d0b1bd18b0ab25c6d783370,
true-blue,9,0,1,0,0,4fdd17a88f1e6253f4857d6b15c19dccee5f339292bf5c0d8c570b9dd28de5903d0ccad2bc727cd48721d0330c282a0148a70109633aede029dfe020d38ea7ce,
blandishment,12,0,0,1,0,bd01ac6732482d84c5478a6f1efdf650b678b1471aff8595a1e355b244c9bc2bd54845f8b2b20d8bebe9555d701ca2f49ff047a340f584202cf4b09edd45e0c2,
scandalmonger,13,0,0,1,0,efd690be7b2c0f575fbe35ff7dd823c6b1e3fdb4a5451ff107038a09ed82d8686d8221eecb47d924137315862935e71160c7b8ad7d35870c66656da7429c13da,
womanish,8,0,1,0,0,87671e7a2f7d0176d9befb79d3bfacbc8eb4fc8e45dc09348b3ce42969095c64d91c62afa20a7045d9002a7af5550a5270b2c66e63800db85e8b5a4ce596936a,
normal,6,0,1,0,0,ee330f2e66ac10ecf672491ca03201e8d3142625d3ee6059f19ca157cac58102ffa827ee41e56d63e9c4ca6ecf625b0adeae4f55ffb8a113001a8afa6fd9ea1f,
caller,6,0,1,0,0,90d90e30f74d70d3ece824f1a681d7e286ffc46652322a273d5a4c4a84a5574892c5e377298956572ec78aa2c8869ab2f488904aec7c9074ed163b50f45496dc,
infest,6,0,1,0,0,4d4e18a94798e66f4e34ce884f635e5b1152bfd01b185ab33daf851bf26791aa56ec56a7eec81100864bd24f941f0c30f46fbe876988459d837f4ece55688d59,
